training loss,validation loss,accuracy age,validation accuracy age,accuracy gender,validation accuracy gender,accuracy race,validation accuracy race
2.9618419130760523,2.9910922489469813,0.4758489770090698,0.4735287913942206,0.7375553680658089,0.7331786542923434,0.5406032482598608,0.5401813963298883
2.942898774790593,2.872497588672485,0.47843282008015187,0.4868171271883569,0.7450959713140688,0.7646066230753006,0.5431870913309428,0.5541025100189834
2.925927890599,2.8975680826787804,0.4787492090276313,0.4823876819236448,0.7463615271039865,0.7511073613161781,0.5479329255431343,0.5549462138789285
2.906126594754625,2.844072819710984,0.48244041341489136,0.49377768403290445,0.7453596287703016,0.7675595865851086,0.5578991773887365,0.5583210293187091
2.889045298979384,2.8177008563385644,0.48423328411727484,0.4990508331575617,0.7512128242986712,0.764184771145328,0.5577409829149969,0.5671799198481333
2.8673900785148523,2.8410053495663212,0.48507698797722,0.4956760177177811,0.7580679181607256,0.7681923644800674,0.5601666315123391,0.5671799198481333
2.856421952255664,2.805910747102501,0.4902446741193841,0.5011600928074246,0.7535330099135203,0.7686142164100401,0.5600084370385995,0.5665471419531745
2.8424457151746005,2.9207165818190295,0.4908247205230964,0.4887154608732335,0.7575933347395064,0.7458342121915208,0.5625922801096815,0.5477747310693947
2.838167633551779,2.773972369868679,0.4940413414891373,0.5013710187724109,0.7570660198270407,0.7705125500949167,0.5633832524783801,0.5747732545876397
2.8231256573776413,2.770956152632305,0.4978907403501371,0.4984180552626028,0.7640793081628349,0.7679814385150812,0.5691309850242565,0.5840539970470365
